side,entry_time,exit_time,entry_price,exit_price,quantity,margin,leverage,gross_pnl,fees,net_pnl,result,exit_reason,signal_score,pattern_type,tp_price,sl_price,atr_at_entry,rsi_at_entry,htf_trend
short,1772122499999,1772123399999,86.23,86.650429,0.519565,4.4802,10.0,-0.21844,0.035842,-0.254282,loss,stop_loss,9,engulfing,85.6694,86.6504,0.7007,34.8,neutral
short,1772124299999,1772125199999,85.52,84.930286,0.723023,6.1833,10.0,0.426377,0.049466,0.376911,win,take_profit,11,engulfing,84.9303,85.4516,0.7371,29.04,neutral
long,1772133299999,1772134199999,85.95,86.175536,0.524825,4.5109,10.0,0.118367,0.036087,0.08228,win,trailing_stop,9,engulfing,86.5403,86.0188,0.7379,45.14,neutral
long,1772164799999,1772165699999,87.63,87.996857,0.723954,6.344,10.0,0.265588,0.050752,0.214836,win,take_profit,17,retest,87.9969,87.7001,0.4586,73.76,up
long,1772179199999,1772180099999,87.31,87.604286,0.73522,6.4192,10.0,0.216365,0.051354,0.165011,win,take_profit,12,engulfing,87.6043,87.3798,0.3679,36.86,up
short,1772187299999,1772188199999,85.43,85.225179,0.75816,6.477,10.0,0.155287,0.051816,0.103472,win,trailing_stop,15,retest,85.0934,85.3617,0.4207,24.53,neutral
short,1772189999999,1772191799999,84.71,84.308286,0.768879,6.5132,10.0,0.30887,0.052105,0.256764,win,take_profit,15,breakout,84.3083,84.6422,0.5021,23.04,neutral
short,1772202599999,1772203499999,82.68,82.613856,0.798626,6.603,10.0,0.052824,0.052824,-0.0,loss,breakeven,12,engulfing,82.192,82.6139,0.61,24.81,neutral
short,1772208899999,1772210699999,82.12,81.630857,0.804072,6.603,10.0,0.393306,0.052824,0.340482,win,take_profit,16,trend_follow,81.6309,82.0543,0.6114,38.79,down
short,1772211599999,1772212499999,81.37,81.745,0.826129,6.7222,10.0,-0.309798,0.053778,-0.363576,loss,stop_loss,19,retest,80.87,81.745,0.625,29.61,down
short,1772216099999,1772216999999,81.63,81.564696,0.807909,6.595,10.0,0.05276,0.05276,-0.0,loss,breakeven,11,trend_follow,81.1797,81.5647,0.5629,35.91,down
short,1772266499999,1772267399999,78.35,78.28732,0.84173,6.595,10.0,0.05276,0.05276,0.0,win,breakeven,15,trend_follow,77.6334,78.2873,0.8957,29.98,down
short,1772269199999,1772270099999,78.02,77.957584,0.845291,6.595,10.0,0.05276,0.05276,-0.0,loss,breakeven,14,trend_follow,77.2691,77.9576,0.9386,28.4,down
short,1772285399999,1772286299999,78.9,78.83688,0.597045,4.7107,10.0,0.037685,0.037685,-0.0,loss,breakeven,9,ema_pullback,78.5486,78.8369,0.4393,57.74,down
long,1772304299999,1772305199999,82.12,82.572571,0.803088,6.595,10.0,0.363455,0.05276,0.310695,win,take_profit,11,breakout,82.5726,82.1857,0.5657,79.19,neutral
long,1772307899999,1772308799999,82.22,82.416071,0.582384,4.7884,10.0,0.114189,0.038307,0.075882,win,trailing_stop,7,engulfing,82.6806,82.2858,0.5757,64.1,neutral
long,1772310599999,1772311499999,83.41,83.934,0.806889,6.7303,10.0,0.42281,0.053842,0.368968,win,take_profit,12,breakout,83.934,83.4767,0.655,71.99,neutral
long,1772312399999,1772313299999,84.88,84.426143,0.808129,6.8594,10.0,-0.366775,0.054875,-0.42165,loss,stop_loss,16,retest,85.4851,84.4261,0.7564,78.21,neutral
long,1772329499999,1772330399999,85.27,85.696857,0.787126,6.7118,10.0,0.33599,0.053695,0.282296,win,take_profit,11,trend_follow,85.6969,85.3382,0.5336,59.59,neutral
short,1772386199999,1772387999999,83.68,84.184429,0.813889,6.8106,10.0,-0.410549,0.054485,-0.465034,loss,stop_loss,12,breakout,83.0074,84.1844,0.8407,30.13,neutral
short,1772396099999,1772396999999,82.47,82.404024,0.806095,6.6479,10.0,0.053183,0.053183,0.0,win,breakeven,16,breakout,81.942,82.404,0.66,21.36,neutral
short,1772397899999,1772399699999,81.88,82.228,0.811903,6.6479,10.0,-0.282542,0.053183,-0.335725,loss,stop_loss,18,retest,81.416,82.228,0.58,24.42,neutral
long,1772414099999,1772414999999,85.83,85.400571,0.760848,6.5304,10.0,-0.32673,0.052243,-0.378973,loss,stop_loss,15,breakout,86.4026,85.4006,0.7157,80.75,up
long,1772421299999,1772422199999,84.49,84.811071,0.540869,4.5698,10.0,0.173657,0.036558,0.137099,win,trailing_stop,9,trend_follow,85.0626,84.5576,0.7157,57.47,neutral
short,1772432999999,1772433899999,83.39,83.268214,0.552113,4.6041,10.0,0.06724,0.036833,0.030407,win,trailing_stop,8,breakout,83.0117,83.3233,0.4729,39.2,neutral
short,1772440199999,1772441099999,82.53,82.852286,0.782303,6.4563,10.0,-0.252125,0.051651,-0.303776,loss,stop_loss,14,engulfing,82.1003,82.8523,0.5371,29.27,down
short,1772526599999,1772527499999,84.97,84.592286,0.747325,6.35,10.0,0.282275,0.0508,0.231475,win,take_profit,13,retest,84.5923,84.902,0.4721,35.03,neutral
short,1772530199999,1772531099999,84.37,84.145714,0.762242,6.431,10.0,0.17096,0.051448,0.119512,win,trailing_stop,10,trend_follow,83.9677,84.3025,0.5029,29.75,neutral
short,1772532899999,1772533799999,83.9,83.83288,0.771498,6.4729,10.0,0.051783,0.051783,0.0,win,breakeven,12,breakout,83.4686,83.8329,0.5393,27.08,neutral
short,1772535599999,1772536499999,83.92,84.249143,0.771314,6.4729,10.0,-0.253873,0.051783,-0.305656,loss,stop_loss,12,engulfing,83.4811,84.2491,0.5486,23.99,neutral
short,1772545499999,1772546399999,83.51,83.335536,0.762291,6.3659,10.0,0.132992,0.050927,0.082065,win,trailing_stop,11,engulfing,83.0443,83.4432,0.5821,45.14,neutral
short,1772549099999,1772549999999,82.98,82.517143,0.770621,6.3946,10.0,0.356687,0.051157,0.30553,win,take_profit,16,breakout,82.5171,82.9136,0.5786,37.67,down
long,1772554499999,1772555399999,86.31,86.954571,0.753279,6.5015,10.0,0.485542,0.052012,0.433529,win,take_profit,13,breakout,86.9546,86.379,0.8057,64.36,neutral
long,1772562599999,1772563499999,85.42,85.739286,0.778891,6.6533,10.0,0.248689,0.053226,0.195462,win,trailing_stop,11,trend_follow,86.3183,85.4883,1.1229,61.95,neutral
long,1772579699999,1772580599999,87.09,87.159672,0.77181,6.7217,10.0,0.053774,0.053774,-0.0,loss,breakeven,17,breakout,87.5791,87.1597,0.6114,66.47,up
long,1772588699999,1772589599999,87.68,87.260857,0.766617,6.7217,10.0,-0.321322,0.053774,-0.375095,loss,stop_loss,16,breakout,88.2389,87.2609,0.6986,71.34,up
short,1772604899999,1772605799999,85.17,85.101864,0.773795,6.5904,10.0,0.052723,0.052723,-0.0,loss,breakeven,10,trend_follow,84.6689,85.1019,0.6264,32.47,neutral
long,1772613899999,1772614799999,87.94,88.435429,0.749421,6.5904,10.0,0.371285,0.052723,0.318561,win,take_profit,16,breakout,88.4354,88.0104,0.6193,73.64,up
long,1772636399999,1772637299999,90.19,90.751143,0.743088,6.7019,10.0,0.416978,0.053615,0.363363,win,take_profit,13,ema_pullback,90.7511,90.2622,0.7014,50.91,up
long,1772638199999,1772639099999,92.62,92.694096,0.737323,6.8291,10.0,0.054633,0.054633,-0.0,loss,breakeven,18,breakout,93.2091,92.6941,0.7364,74.74,up
long,1772653499999,1772654399999,93.81,93.351429,0.72797,6.8291,10.0,-0.333826,0.054633,-0.388459,loss,stop_loss,18,breakout,94.4214,93.3514,0.7643,73.32,up
long,1772700299999,1772701199999,90.35,90.590893,0.529143,4.7808,10.0,0.127467,0.038246,0.08922,win,trailing_stop,6,engulfing,90.7311,90.4223,0.4764,46.39,neutral
long,1772706599999,1772707499999,92.23,92.679714,0.729085,6.7244,10.0,0.32788,0.053795,0.274085,win,take_profit,16,breakout,92.6797,92.3038,0.5621,66.35,up
long,1772708399999,1772709299999,92.65,92.278,0.736134,6.8203,10.0,-0.273842,0.054562,-0.328404,loss,stop_loss,14,trend_follow,93.146,92.278,0.62,68.52,up
short,1772724599999,1772725499999,89.07,88.998744,0.752817,6.7053,10.0,0.053643,0.053643,0.0,win,breakeven,15,retest,88.442,88.9987,0.785,28.12,neutral
short,1772727299999,1772728199999,88.22,88.149424,0.76007,6.7053,10.0,0.053643,0.053643,0.0,win,breakeven,15,breakout,87.5229,88.1494,0.8714,26.27,neutral
short,1772730899999,1772731799999,88.73,88.659016,0.539787,4.7895,10.0,0.038316,0.038316,-0.0,loss,breakeven,7,trend_follow,87.9786,88.659,0.9393,35.4,neutral
short,1772733599999,1772736299999,88.12,88.686143,0.760933,6.7053,10.0,-0.430797,0.053643,-0.484439,loss,stop_loss,10,trend_follow,87.3651,88.6861,0.9436,32.24,neutral
short,1772764199999,1772765099999,88.59,88.275143,0.526969,4.6684,10.0,0.16592,0.037347,0.128573,win,take_profit,8,engulfing,88.2751,88.5191,0.3936,42.86,neutral
short,1772772299999,1772773199999,88.04,87.969568,0.533912,4.7006,10.0,0.037604,0.037604,-0.0,loss,breakeven,7,trend_follow,87.6366,87.9696,0.5043,42.36,neutral
short,1772789399999,1772790299999,87.33,87.260136,0.753554,6.5808,10.0,0.052646,0.052646,-0.0,loss,breakeven,17,breakout,87.0054,87.2601,0.4057,40.53,down
short,1772798399999,1772799299999,87.26,86.952571,0.754158,6.5808,10.0,0.23185,0.052646,0.179204,win,take_profit,13,ema_pullback,86.9526,87.1902,0.3843,29.54,down
short,1772801099999,1772801999999,86.24,86.015179,0.770351,6.6435,10.0,0.173191,0.053148,0.120043,win,trailing_stop,17,breakout,85.8714,86.171,0.4607,27.92,down
short,1772805599999,1772806499999,85.59,85.159714,0.78111,6.6855,10.0,0.336101,0.053484,0.282616,win,take_profit,17,breakout,85.1597,85.5215,0.5379,23.69,down
short,1772813699999,1772815499999,84.42,84.875571,0.803653,6.7844,10.0,-0.366121,0.054276,-0.420397,loss,stop_loss,13,trend_follow,83.8126,84.8756,0.7593,29.03,down
short,1772819099999,1772819999999,83.87,84.256571,0.79138,6.6373,10.0,-0.305925,0.053098,-0.359023,loss,stop_loss,16,breakout,83.3546,84.2566,0.6443,29.52,down
short,1772856899999,1772857799999,84.11,84.258286,0.774182,6.5116,10.0,-0.1148,0.052093,-0.166893,loss,stop_loss,16,ema_pullback,83.9123,84.2583,0.2471,35.51,down
short,1772866799999,1772867699999,84.03,83.962776,0.767967,6.4532,10.0,0.051626,0.051626,-0.0,loss,breakeven,14,engulfing,83.8203,83.9628,0.2621,30.92,down
short,1772871299999,1772872199999,84.2,84.343143,0.547441,4.6094,10.0,-0.078362,0.036876,-0.115238,loss,stop_loss,9,ema_pullback,84.0091,84.3431,0.2386,44.17,down
short,1772888399999,1772889299999,84.3,84.429857,0.760723,6.4129,10.0,-0.098785,0.051303,-0.150088,loss,stop_loss,17,ema_pullback,84.1269,84.4299,0.2164,42.94,down
short,1772891099999,1772891999999,84.25,84.381571,0.754939,6.3604,10.0,-0.099328,0.050883,-0.150211,loss,stop_loss,13,ema_pullback,84.0746,84.3816,0.2193,36.7,down
short,1772892899999,1772893799999,83.86,83.792912,0.752181,6.3078,10.0,0.050462,0.050462,-0.0,loss,breakeven,16,breakout,83.6737,83.7929,0.2329,32.89,down
short,1772896499999,1772897399999,84.09,84.022728,0.750124,6.3078,10.0,0.050462,0.050462,0.0,win,breakeven,10,engulfing,83.8831,84.0227,0.2586,32.37,down
